,region_name,district_name,kanton_name
639,Calanca,Moesa,Graubünden / Grigioni / Grischun
640,Oberrohrdorf,Baden,Aargau
641,Regensberg,Dielsdorf,Zürich
642,Poschiavo,Bernina,Graubünden / Grigioni / Grischun
643,Hagneck,Seeland,Bern / Berne
644,Brione sopra Minusio,Locarno,Ticino
645,Eich,Sursee,Luzern
646,Grellingen,Laufen,Basel-Landschaft
647,Tentlingen,Sense,Fribourg / Freiburg
648,Abtwil,Muri,Aargau
649,Häfelfingen,Sissach,Basel-Landschaft
650,Granges-Paccot,La Sarine,Fribourg / Freiburg
651,Rümikon,Zurzach,Aargau
652,Scuol,Inn,Graubünden / Grigioni / Grischun
653,Oberentfelden,Aarau,Aargau
654,Montet (Glâne),La Glâne,Fribourg / Freiburg
655,Erlenbach im Simmental,Frutigen-Niedersimmental,Bern / Berne
656,Morrens (VD),Gros-de-Vaud,Vaud
657,Inkwil,Oberaargau,Bern / Berne
658,Trüllikon,Andelfingen,Zürich
659,Schötz,Willisau,Luzern
660,Gelterkinden,Sissach,Basel-Landschaft
661,Bassersdorf,Bülach,Zürich
662,Sennwald,Werdenberg,St. Gallen
663,Brig-Glis,Brig,Valais / Wallis
664,Willisau,Willisau,Luzern
665,Weggis,Luzern-Land,Luzern
666,Wilderswil,Interlaken-Oberhasli,Bern / Berne
667,Cronay,Jura-Nord vaudois,Vaud
668,Coppet,Nyon,Vaud
669,Ecublens (FR),La Glâne,Fribourg / Freiburg
670,Boécourt,Delémont,Jura
671,Chavannes-de-Bogis,Nyon,Vaud
672,Frick,Laufenburg,Aargau
673,Ossingen,Andelfingen,Zürich
674,Halten,Wasseramt,Solothurn
675,Embrach,Bülach,Zürich
676,Gersau,Gersau,Schwyz
677,Willadingen,Emmental,Bern / Berne
678,Gerlafingen,Wasseramt,Solothurn
679,Dotzigen,Seeland,Bern / Berne
680,Commugny,Nyon,Vaud
681,Nesslau,Toggenburg,St. Gallen
682,Plateau de Diesse,Jura bernois,Bern / Berne
683,Erlinsbach (SO),Gösgen,Solothurn
684,Frauenkappelen,Appenzell Ausserrhoden,Bern / Berne
685,Thun,Thun,Bern / Berne
686,Senarclens,Morges,Vaud
687,Echichens,Morges,Vaud
688,Vinzel,Nyon,Vaud
689,Kandersteg,Frutigen-Niedersimmental,Bern / Berne
690,Eschlikon,Münchwilen,Thurgau
691,Herzogenbuchsee,Oberaargau,Bern / Berne
692,Coeuve,Porrentruy,Jura
693,Salmsach,Arbon,Thurgau
694,Vully-les-Lacs,Broye-Vully,Vaud
695,Laax,Surselva,Graubünden / Grigioni / Grischun
696,Haute-Ajoie,Porrentruy,Jura
697,Bühler,Appenzell Ausserrhoden,Appenzell Ausserrhoden
698,Belfaux,La Sarine,Fribourg / Freiburg
699,Seelisberg,Kanton Uri,Uri
700,Biasca,Riviera,Ticino
701,Mauensee,Sursee,Luzern
702,Torny,La Glâne,Fribourg / Freiburg
703,Bennwil,Waldenburg,Basel-Landschaft
704,Yvonand,Jura-Nord vaudois,Vaud
705,Kölliken,Zofingen,Aargau
706,Zetzwil,Kulm,Aargau
707,Vacallo,Mendrisio,Ticino
708,Bussnang,Weinfelden,Thurgau
709,Staufen,Lenzburg,Aargau
710,Grandvillard,La Gruyère,Fribourg / Freiburg
711,Chancy,Canton de Genève,Genève
712,Villars-Epeney,Jura-Nord vaudois,Vaud
713,Montricher,Morges,Vaud
714,Breitenbach,Thierstein,Solothurn
715,Domleschg,Hinterrhein,Graubünden / Grigioni / Grischun
716,Ried bei Kerzers,See / Lac,Fribourg / Freiburg
717,Guggisberg,Appenzell Ausserrhoden,Bern / Berne
718,Oberbüren,Wil,St. Gallen
719,Meinisberg,Biel/Bienne,Bern / Berne
720,Schattenhalb,Interlaken-Oberhasli,Bern / Berne
721,Flüelen,Kanton Uri,Uri
722,Gingins,Nyon,Vaud
723,Gerzensee,Appenzell Ausserrhoden,Bern / Berne
724,Vico Morcote,Lugano,Ticino
725,Schwanden bei Brienz,Interlaken-Oberhasli,Bern / Berne
726,Petit-Val,Jura bernois,Bern / Berne
727,Lauenen,Obersimmental-Saanen,Bern / Berne
728,Elgg,Winterthur,Zürich
729,Seengen,Lenzburg,Aargau
730,Diepoldsau,Rheintal,St. Gallen
731,Isone,Bellinzona,Ticino
732,Thürnen,Sissach,Basel-Landschaft
733,Cuarny,Jura-Nord vaudois,Vaud
734,Glattfelden,Bülach,Zürich
735,Buchholterberg,Thun,Bern / Berne
736,Niedergesteln,Raron,Valais / Wallis
737,Autigny,La Sarine,Fribourg / Freiburg
738,Lostorf,Gösgen,Solothurn
739,Port-Valais,Monthey,Valais / Wallis
740,Herdern,Frauenfeld,Thurgau
741,Missy,Broye-Vully,Vaud
742,Lancy,Canton de Genève,Genève
743,Gempenach,See / Lac,Fribourg / Freiburg
744,Leuk,Leuk,Valais / Wallis
745,Suscévaz,Jura-Nord vaudois,Vaud
746,Ostermundigen,Appenzell Ausserrhoden,Bern / Berne
747,Diessbach bei Büren,Seeland,Bern / Berne
748,Niederönz,Oberaargau,Bern / Berne
749,Aranno,Lugano,Ticino
750,Ins,Seeland,Bern / Berne
751,Plan-les-Ouates,Canton de Genève,Genève
752,Walzenhausen,Appenzell Ausserrhoden,Appenzell Ausserrhoden
753,Augst,Liestal,Basel-Landschaft
754,Höchstetten,Emmental,Bern / Berne
755,Bioley-Magnoux,Jura-Nord vaudois,Vaud
756,Vullierens,Morges,Vaud
757,Vuisternens-devant-Romont,La Glâne,Fribourg / Freiburg
758,Besenbüren,Muri,Aargau
759,Tecknau,Sissach,Basel-Landschaft
760,Braunau,Münchwilen,Thurgau
761,Lajoux (JU),Les Franches-Montagnes,Jura
762,Bözberg,Brugg,Aargau
763,Schübelbach,March,Schwyz
764,Alpnach,Kanton Obwalden,Obwalden
765,Wileroltigen,Appenzell Ausserrhoden,Bern / Berne
766,Dällikon,Dielsdorf,Zürich
767,Eggiwil,Emmental,Bern / Berne
768,Massagno,Lugano,Ticino
769,Ursy,La Glâne,Fribourg / Freiburg
770,Kirchdorf (BE),Appenzell Ausserrhoden,Bern / Berne
771,Hauterive (FR),La Sarine,Fribourg / Freiburg
772,Caslano,Lugano,Ticino
773,Vétroz,Conthey,Valais / Wallis
774,Courtételle,Delémont,Jura
775,Troinex,Canton de Genève,Genève
776,Worb,Appenzell Ausserrhoden,Bern / Berne
777,Bösingen,Sense,Fribourg / Freiburg
778,Le Pâquier (FR),La Gruyère,Fribourg / Freiburg
779,Schüpfen,Seeland,Bern / Berne
780,Riehen,Kanton Basel-Stadt,Basel-Stadt
781,Studen (BE),Seeland,Bern / Berne
782,Nenzlingen,Laufen,Basel-Landschaft
783,Wartau,Werdenberg,St. Gallen
784,Sonceboz-Sombeval,Jura bernois,Bern / Berne
785,Rodersdorf,Dorneck,Solothurn
786,Cortaillod,Boudry,Neuchâtel
787,Renan (BE),Jura bernois,Bern / Berne
788,Stocken-Höfen,Thun,Bern / Berne
789,Goumoëns,Gros-de-Vaud,Vaud
790,Wil (ZH),Bülach,Zürich
791,L'Isle,Morges,Vaud
792,Büren an der Aare,Seeland,Bern / Berne
793,Eriz,Thun,Bern / Berne
794,Eschenbach (SG),See-Gaster,St. Gallen
795,Alto Malcantone,Lugano,Ticino
796,Bournens,Gros-de-Vaud,Vaud
797,Kriens,Luzern-Land,Luzern
798,Uetendorf,Thun,Bern / Berne
799,Wimmis,Frutigen-Niedersimmental,Bern / Berne
800,Birrhard,Brugg,Aargau
801,Uznach,See-Gaster,St. Gallen
802,Presinge,Canton de Genève,Genève
803,Luzern,Luzern-Land,Luzern
804,Fraubrunnen,Appenzell Ausserrhoden,Bern / Berne
805,Anières,Canton de Genève,Genève
806,Payerne,Broye-Vully,Vaud
807,Mettmenstetten,Affoltern,Zürich
808,Faoug,Broye-Vully,Vaud
809,Gimel,Morges,Vaud
810,Sufers,Hinterrhein,Graubünden / Grigioni / Grischun
811,Vandoeuvres,Canton de Genève,Genève
812,Nusshof,Sissach,Basel-Landschaft
813,Reigoldswil,Waldenburg,Basel-Landschaft
814,Klingnau,Zurzach,Aargau
815,Sumvitg,Surselva,Graubünden / Grigioni / Grischun
816,Büttenhardt,Reiat,Schaffhausen
817,Gretzenbach,Olten,Solothurn
818,Champoz,Jura bernois,Bern / Berne
819,Bure,Porrentruy,Jura
820,Develier,Delémont,Jura
821,Leukerbad,Leuk,Valais / Wallis
822,Chamblon,Jura-Nord vaudois,Vaud
823,Höri,Bülach,Zürich
824,Stein (AG),Rheinfelden,Aargau
825,Flühli,Entlebuch,Luzern
826,Schiers,Prättigau-Davos,Graubünden / Grigioni / Grischun
827,Obergerlafingen,Wasseramt,Solothurn
828,Rünenberg,Sissach,Basel-Landschaft
829,Berikon,Bremgarten,Aargau
830,Gunzgen,Olten,Solothurn
831,Moudon,Broye-Vully,Vaud
832,Auboranges,La Glâne,Fribourg / Freiburg
833,Lavigny,Morges,Vaud
834,Gy,Canton de Genève,Genève
835,Treyvaux,La Sarine,Fribourg / Freiburg
836,Ménières,La Broye,Fribourg / Freiburg
837,Truttikon,Andelfingen,Zürich
838,Les Ponts-de-Martel,Le Locle,Neuchâtel
839,Orbe,Jura-Nord vaudois,Vaud
840,Mandach,Brugg,Aargau
841,Tobel-Tägerschen,Münchwilen,Thurgau
842,Muri bei Bern,Appenzell Ausserrhoden,Bern / Berne
843,Walliswil bei Niederbipp,Oberaargau,Bern / Berne
844,Raperswilen,Kreuzlingen,Thurgau
845,Saint-Imier,Jura bernois,Bern / Berne
846,Brunegg,Lenzburg,Aargau
847,Le Vaud,Nyon,Vaud
848,Saint-Aubin (FR),La Broye,Fribourg / Freiburg
849,Thalheim an der Thur,Andelfingen,Zürich
850,Paradiso,Lugano,Ticino
851,Balerna,Mendrisio,Ticino
852,Mont-la-Ville,Morges,Vaud
853,Hergiswil bei Willisau,Willisau,Luzern
854,Coinsins,Nyon,Vaud
855,Bregaglia,Maloja / Maloggia,Graubünden / Grigioni / Grischun
856,Termen,Brig,Valais / Wallis
857,Porza,Lugano,Ticino
858,Buttwil,Muri,Aargau
859,Ergisch,Leuk,Valais / Wallis
860,Vals,Surselva,Graubünden / Grigioni / Grischun
861,Schönengrund,Appenzell Ausserrhoden,Appenzell Ausserrhoden
862,Sauge,Jura bernois,Bern / Berne
863,Giswil,Kanton Obwalden,Obwalden
864,Udligenswil,Luzern-Land,Luzern
865,Känerkinden,Sissach,Basel-Landschaft
866,Rolle,Nyon,Vaud
867,Langnau im Emmental,Emmental,Bern / Berne
868,Auenstein,Brugg,Aargau
869,Lupfig,Brugg,Aargau
870,Hasliberg,Interlaken-Oberhasli,Bern / Berne
871,Churwalden,Plessur,Graubünden / Grigioni / Grischun
872,Affoltern am Albis,Affoltern,Zürich
873,Niedergösgen,Gösgen,Solothurn
874,Rietheim,Zurzach,Aargau
875,Wiliberg,Zofingen,Aargau
876,Iseltwald,Interlaken-Oberhasli,Bern / Berne
877,Brot-Plamboz,Le Locle,Neuchâtel
878,Wettswil am Albis,Affoltern,Zürich
879,Andeer,Hinterrhein,Graubünden / Grigioni / Grischun
880,Saint-Blaise,Neuchâtel,Neuchâtel
881,Dietikon,Dietikon,Zürich
882,St. Gallen,St. Gallen,St. Gallen
883,Bogis-Bossey,Nyon,Vaud
884,Gommiswald,See-Gaster,St. Gallen
885,Wyssachen,Oberaargau,Bern / Berne
886,Montcherand,Jura-Nord vaudois,Vaud
887,Hellsau,Emmental,Bern / Berne
888,Gurmels,See / Lac,Fribourg / Freiburg
889,Zullwil,Thierstein,Solothurn
890,Tuggen,March,Schwyz
891,Muolen,St. Gallen,St. Gallen
892,L'Abbaye,Jura-Nord vaudois,Vaud
893,Lugano,Lugano,Ticino
894,Eiken,Laufenburg,Aargau
895,Steinach,Rorschach,St. Gallen
896,Ursenbach,Oberaargau,Bern / Berne
897,Saulcy,Delémont,Jura
898,Schlatt-Haslen,Kanton Appenzell Innerrhoden,Appenzell Innerrhoden
899,Knutwil,Sursee,Luzern
900,Penthaz,Gros-de-Vaud,Vaud
901,Bettingen,Kanton Basel-Stadt,Basel-Stadt
902,Begnins,Nyon,Vaud
903,Oberlunkhofen,Bremgarten,Aargau
904,Zürich,Zürich,Zürich
905,Schaffhausen,Schaffhausen,Schaffhausen
906,Glarus,Kanton Glarus,Glarus
907,Stäfa,Meilen,Zürich
908,Rickenbach (TG),Münchwilen,Thurgau
909,Benken (SG),See-Gaster,St. Gallen
910,Echallens,Gros-de-Vaud,Vaud
911,Derendingen,Wasseramt,Solothurn
912,Lully (VD),Morges,Vaud
913,Grüningen,Hinwil,Zürich
914,Acquarossa,Blenio,Ticino
915,Seon,Lenzburg,Aargau
916,Eischoll,Raron,Valais / Wallis
917,Kappel am Albis,Affoltern,Zürich
918,Flums,Sarganserland,St. Gallen
919,St. Silvester,Sense,Fribourg / Freiburg
920,Grengiols,Raron,Valais / Wallis
921,Airolo,Leventina,Ticino
922,Kaufdorf,Appenzell Ausserrhoden,Bern / Berne
923,Puplinge,Canton de Genève,Genève
924,Baden,Baden,Aargau
925,Grossaffoltern,Seeland,Bern / Berne
926,Hefenhofen,Arbon,Thurgau
927,Vuarrens,Gros-de-Vaud,Vaud
928,Buch (SH),Stein,Schaffhausen
929,Lütisburg,Toggenburg,St. Gallen
930,Lyssach,Emmental,Bern / Berne
931,Chêne-Bougeries,Canton de Genève,Genève
932,Dürnten,Hinwil,Zürich
933,Lussy-sur-Morges,Morges,Vaud
934,Bätterkinden,Emmental,Bern / Berne
935,Obersiggenthal,Baden,Aargau
936,Möriken-Wildegg,Lenzburg,Aargau
937,Chêne-Bourg,Canton de Genève,Genève
938,Pieterlen,Biel/Bienne,Bern / Berne
939,Arch,Seeland,Bern / Berne
940,St. Ursen,Sense,Fribourg / Freiburg
941,Signy-Avenex,Nyon,Vaud
942,Metzerlen-Mariastein,Dorneck,Solothurn
943,Courroux,Delémont,Jura
944,Büron,Sursee,Luzern
945,Schwarzenburg,Appenzell Ausserrhoden,Bern / Berne
946,Oltingen,Sissach,Basel-Landschaft
947,Burgdorf,Emmental,Bern / Berne
948,Givrins,Nyon,Vaud
949,Neerach,Dielsdorf,Zürich
950,Visperterminen,Visp,Valais / Wallis
951,Salgesch,Leuk,Valais / Wallis
952,Zuzgen,Rheinfelden,Aargau
953,Bellevue,Canton de Genève,Genève
954,Oberegg,Kanton Appenzell Innerrhoden,Appenzell Innerrhoden
955,Russin,Canton de Genève,Genève
956,Grancia,Lugano,Ticino
957,Rorschacherberg,Rorschach,St. Gallen
958,Richterswil,Horgen,Zürich
959,Agarn,Leuk,Valais / Wallis
960,Arlesheim,Arlesheim,Basel-Landschaft
961,Arni (BE),Appenzell Ausserrhoden,Bern / Berne
962,Locarno,Locarno,Ticino
963,Fiesch,Goms,Valais / Wallis
964,Cazis,Hinterrhein,Graubünden / Grigioni / Grischun
965,Porrentruy,Porrentruy,Jura
966,Walterswil (SO),Olten,Solothurn
967,Romainmôtier-Envy,Jura-Nord vaudois,Vaud
968,Meltingen,Thierstein,Solothurn
969,Därligen,Interlaken-Oberhasli,Bern / Berne
970,Saint-Brais,Les Franches-Montagnes,Jura
971,Essertines-sur-Rolle,Nyon,Vaud
972,Grandfontaine,Porrentruy,Jura
973,Niederlenz,Lenzburg,Aargau
974,Giornico,Leventina,Ticino
975,Champéry,Monthey,Valais / Wallis
976,Lenzburg,Lenzburg,Aargau
977,Centovalli,Locarno,Ticino
978,Köniz,Appenzell Ausserrhoden,Bern / Berne
979,Kesswil,Arbon,Thurgau
980,Gams,Werdenberg,St. Gallen
981,Hermrigen,Seeland,Bern / Berne
982,Böckten,Sissach,Basel-Landschaft
983,Cressier (FR),See / Lac,Fribourg / Freiburg
984,Roveredo (GR),Moesa,Graubünden / Grigioni / Grischun
985,Romont (FR),La Glâne,Fribourg / Freiburg
986,Schwellbrunn,Appenzell Ausserrhoden,Appenzell Ausserrhoden
987,Cugnasco-Gerra,Locarno,Ticino
988,Ulmiz,See / Lac,Fribourg / Freiburg
989,Würenlos,Baden,Aargau
990,Orges,Jura-Nord vaudois,Vaud
991,Diegten,Waldenburg,Basel-Landschaft
992,Bettwiesen,Münchwilen,Thurgau
993,Münsterlingen,Kreuzlingen,Thurgau
994,Schönholzerswilen,Weinfelden,Thurgau
995,Reichenbach im Kandertal,Frutigen-Niedersimmental,Bern / Berne
996,Langenthal,Oberaargau,Bern / Berne
997,Wölflinswil,Laufenburg,Aargau
998,Matten bei Interlaken,Interlaken-Oberhasli,Bern / Berne
999,Guttet-Feschel,Leuk,Valais / Wallis
1000,Wangen-Brüttisellen,Uster,Zürich
1001,Thunstetten,Oberaargau,Bern / Berne
1002,Fischbach-Göslikon,Bremgarten,Aargau
1003,Merenschwand,Muri,Aargau
1004,Rhäzüns,Imboden,Graubünden / Grigioni / Grischun
1005,Belmont-sur-Yverdon,Jura-Nord vaudois,Vaud
1006,Carouge (GE),Canton de Genève,Genève
1007,Sargans,Sarganserland,St. Gallen
1008,Hochwald,Dorneck,Solothurn
1009,Arosa,Plessur,Graubünden / Grigioni / Grischun
1010,Eriswil,Oberaargau,Bern / Berne
1011,Stetten (AG),Baden,Aargau
1012,Birwinken,Weinfelden,Thurgau
1013,Saxon,Martigny,Valais / Wallis
1014,Unterlunkhofen,Bremgarten,Aargau
1015,Bleienbach,Oberaargau,Bern / Berne
1016,Cornaux,Neuchâtel,Neuchâtel
1017,La Baroche,Porrentruy,Jura
1018,Pfaffnau,Willisau,Luzern
1019,Vaux-sur-Morges,Morges,Vaud
1020,Giffers,Sense,Fribourg / Freiburg
1021,Bever,Maloja / Maloggia,Graubünden / Grigioni / Grischun
1022,Pomy,Jura-Nord vaudois,Vaud
1023,Hubersdorf,Lebern,Solothurn
1024,Oberhelfenschwil,Toggenburg,St. Gallen
1025,Wil (SG),Wil,St. Gallen
1026,Wahlen,Laufen,Basel-Landschaft
1027,Uetikon am See,Meilen,Zürich
1028,Maur,Uster,Zürich
1029,Islisberg,Bremgarten,Aargau
1030,Sorengo,Lugano,Ticino
1031,La Sonnaz,La Sarine,Fribourg / Freiburg
1032,Dättlikon,Winterthur,Zürich
1033,Sempach,Sursee,Luzern
1034,Zwingen,Laufen,Basel-Landschaft
1035,Oberrüti,Muri,Aargau
1036,Collombey-Muraz,Monthey,Valais / Wallis
1037,Hohenrain,Hochdorf,Luzern
1038,Dulliken,Olten,Solothurn
1039,Châtonnaye,La Glâne,Fribourg / Freiburg
1040,Monthey,Monthey,Valais / Wallis
1041,Genolier,Nyon,Vaud
1042,Bercher,Gros-de-Vaud,Vaud
1043,Perroy,Nyon,Vaud
1044,Trogen,Appenzell Ausserrhoden,Appenzell Ausserrhoden
1045,Vaulion,Jura-Nord vaudois,Vaud
1046,Miglieglia,Lugano,Ticino
1047,Uzwil,Wil,St. Gallen
1048,Freienwil,Baden,Aargau
1049,La Verrerie,La Veveyse,Fribourg / Freiburg
1050,Wettingen,Baden,Aargau
1051,Chiasso,Mendrisio,Ticino
1052,Brugg,Brugg,Aargau
1053,Meilen,Meilen,Zürich
1054,Steinhausen,Kanton Zug,Zug
1055,Madulain,Maloja / Maloggia,Graubünden / Grigioni / Grischun
1056,Novaggio,Lugano,Ticino
1057,Kestenholz,Gäu,Solothurn
1058,Uttigen,Thun,Bern / Berne
1059,Villnachern,Brugg,Aargau
1060,Hérémence,Hérens,Valais / Wallis
1061,Witterswil,Dorneck,Solothurn
1062,Mézières (FR),La Glâne,Fribourg / Freiburg
1063,Trun,Surselva,Graubünden / Grigioni / Grischun
1064,Pully,Lavaux-Oron,Vaud
1065,Rüthi (SG),Rheintal,St. Gallen
1066,Agno,Lugano,Ticino
1067,Bremgarten bei Bern,Appenzell Ausserrhoden,Bern / Berne
1068,Bottenwil,Zofingen,Aargau
1069,Lully (FR),La Broye,Fribourg / Freiburg
1070,Drei Höfe,Wasseramt,Solothurn
1071,Orvin,Jura bernois,Bern / Berne
1072,Wislikofen,Zurzach,Aargau
1073,Sulgen,Weinfelden,Thurgau
1074,Cottens (FR),La Sarine,Fribourg / Freiburg
1075,Grenchen,Lebern,Solothurn
1076,Nendaz,Conthey,Valais / Wallis
1077,Isérables,Martigny,Valais / Wallis
1078,Amsoldingen,Thun,Bern / Berne
1079,Mellikon,Zurzach,Aargau
1080,Corcelles-près-Concise,Jura-Nord vaudois,Vaud
1081,Evilard,Biel/Bienne,Bern / Berne
1082,Unterengstringen,Dietikon,Zürich
1083,Collina d'Oro,Lugano,Ticino
1084,Vilters-Wangs,Sarganserland,St. Gallen
1085,Hendschiken,Lenzburg,Aargau
1086,Dompierre (VD),Broye-Vully,Vaud
1087,Allmendingen,Appenzell Ausserrhoden,Bern / Berne
1088,Orselina,Locarno,Ticino
1089,Adliswil,Horgen,Zürich
1090,Giebenach,Liestal,Basel-Landschaft
1091,Schwyz,Schwyz,Schwyz
1092,Schwerzenbach,Uster,Zürich
1093,Pompaples,Morges,Vaud
1094,Heimenhausen,Oberaargau,Bern / Berne
1095,Deitingen,Wasseramt,Solothurn
1096,Regensdorf,Dielsdorf,Zürich
1097,Aristau,Muri,Aargau
1098,Bischofszell,Weinfelden,Thurgau
1099,Hüntwangen,Bülach,Zürich
1100,Küsnacht (ZH),Meilen,Zürich
1101,Villars-sous-Yens,Morges,Vaud
1102,Boniswil,Lenzburg,Aargau
1103,Bedigliora,Lugano,Ticino
1104,Moutier,Jura bernois,Bern / Berne
1105,Bex,Aigle,Vaud
1106,Dinhard,Winterthur,Zürich
1107,Cureglia,Lugano,Ticino
1108,Glarus Nord,Kanton Glarus,Glarus
1109,Gollion,Morges,Vaud
1110,Froideville,Gros-de-Vaud,Vaud
1111,Gals,Seeland,Bern / Berne
1112,Münchenstein,Arlesheim,Basel-Landschaft
1113,Oberwil (BL),Arlesheim,Basel-Landschaft
1114,Grossdietwil,Willisau,Luzern
1115,Rumisberg,Oberaargau,Bern / Berne
1116,Sâles,La Gruyère,Fribourg / Freiburg
1117,Les Bois,Les Franches-Montagnes,Jura
1118,Bachs,Dielsdorf,Zürich
1119,Saint-Léonard,Sierre,Valais / Wallis
1120,Nunningen,Thierstein,Solothurn
1121,Neftenbach,Winterthur,Zürich
1122,Saas-Grund,Visp,Valais / Wallis
1123,Adligenswil,Luzern-Land,Luzern
1124,Rongellen,Hinterrhein,Graubünden / Grigioni / Grischun
1125,Aadorf,Münchwilen,Thurgau
1126,Rafz,Bülach,Zürich
1127,Buchillon,Morges,Vaud
1128,Tramelan,Jura bernois,Bern / Berne
1129,Noville,Aigle,Vaud
1130,Kappel (SO),Olten,Solothurn
1131,Vallorbe,Jura-Nord vaudois,Vaud
1132,Zunzgen,Sissach,Basel-Landschaft
1133,Grimisuat,Sion,Valais / Wallis
1134,Schattdorf,Kanton Uri,Uri
1135,Waltenschwil,Muri,Aargau
1136,Holderbank (AG),Lenzburg,Aargau
1137,Zell (LU),Willisau,Luzern
1138,Ermensee,Hochdorf,Luzern
1139,Conters im Prättigau,Prättigau-Davos,Graubünden / Grigioni / Grischun
1140,Attalens,La Veveyse,Fribourg / Freiburg
1141,Dachsen,Andelfingen,Zürich
1142,Belprahon,Jura bernois,Bern / Berne
1143,Les Breuleux,Les Franches-Montagnes,Jura
1144,Meiringen,Interlaken-Oberhasli,Bern / Berne
1145,Courgevaux,See / Lac,Fribourg / Freiburg
1146,Kilchberg (ZH),Horgen,Zürich
1147,Chénens,La Sarine,Fribourg / Freiburg
1148,Trin,Imboden,Graubünden / Grigioni / Grischun
1149,Adelboden,Frutigen-Niedersimmental,Bern / Berne
1150,Langrickenbach,Kreuzlingen,Thurgau
1151,Sirnach,Münchwilen,Thurgau
1152,Villorsonnens,La Glâne,Fribourg / Freiburg
1153,Hauenstein-Ifenthal,Gösgen,Solothurn
1154,Gsteigwiler,Interlaken-Oberhasli,Bern / Berne
1155,Buochs,Kanton Nidwalden,Nidwalden
1156,Vionnaz,Monthey,Valais / Wallis
1157,Fischingen,Münchwilen,Thurgau
1158,Niederweningen,Dielsdorf,Zürich
1159,Biberist,Wasseramt,Solothurn
1160,Roche (VD),Aigle,Vaud
1161,Dägerlen,Winterthur,Zürich
1162,Chéserex,Nyon,Vaud
1163,Sion,Sion,Valais / Wallis
1164,Ammerswil,Lenzburg,Aargau
1165,Saules (BE),Jura bernois,Bern / Berne
1166,Sursee,Sursee,Luzern
1167,Valsot,Inn,Graubünden / Grigioni / Grischun
1168,Diessenhofen,Frauenfeld,Thurgau
1169,Hasle bei Burgdorf,Emmental,Bern / Berne
1170,Inwil,Hochdorf,Luzern
1171,Oberriet (SG),Rheintal,St. Gallen
1172,Zielebach,Emmental,Bern / Berne
1173,Sorens,La Gruyère,Fribourg / Freiburg
1174,Gontenschwil,Kulm,Aargau
1175,Uezwil,Bremgarten,Aargau
1176,Ferpicloz,La Sarine,Fribourg / Freiburg
1177,Dittingen,Laufen,Basel-Landschaft
1178,Vezia,Lugano,Ticino
1179,Menziken,Kulm,Aargau
1180,Balsthal,Thal,Solothurn
1181,Sigriswil,Thun,Bern / Berne
1182,La Brillaz,La Sarine,Fribourg / Freiburg
1183,Saint-Cergue,Nyon,Vaud
1184,Dizy,Morges,Vaud
1185,Gebenstorf,Baden,Aargau
1186,Niederbuchsiten,Gäu,Solothurn
1187,Reute (AR),Appenzell Ausserrhoden,Appenzell Ausserrhoden
1188,Veltheim (AG),Brugg,Aargau
1189,Itingen,Sissach,Basel-Landschaft
1190,Burg im Leimental,Laufen,Basel-Landschaft
1191,Bretonnières,Jura-Nord vaudois,Vaud
1192,Männedorf,Meilen,Zürich
1193,Leibstadt,Zurzach,Aargau
1194,Feldbrunnen-St. Niklaus,Lebern,Solothurn
1195,Wauwil,Willisau,Luzern
1196,Rümlingen,Sissach,Basel-Landschaft
1197,Marchissy,Nyon,Vaud
1198,Soral,Canton de Genève,Genève
1199,Ollon,Aigle,Vaud
1200,Chippis,Sierre,Valais / Wallis
1201,Suchy,Jura-Nord vaudois,Vaud
1202,Eichberg,Rheintal,St. Gallen
1203,Amden,See-Gaster,St. Gallen
1204,Meikirch,Appenzell Ausserrhoden,Bern / Berne
1205,Menznau,Willisau,Luzern
1206,Val-de-Ruz,Val-de-Ruz,Neuchâtel
1207,Pollegio,Leventina,Ticino
1208,Buchegg,Bucheggberg,Solothurn
1209,Bourg-Saint-Pierre,Entremont,Valais / Wallis
1210,Trey,Broye-Vully,Vaud
1211,Villeneuve (VD),Aigle,Vaud
1212,La Ferrière,Jura bernois,Bern / Berne
1213,Ferden,Raron,Valais / Wallis
1214,Port,Biel/Bienne,Bern / Berne
1215,Bürglen (UR),Kanton Uri,Uri
1216,Altikon,Winterthur,Zürich
1217,Obergösgen,Gösgen,Solothurn
1218,Oetwil an der Limmat,Dietikon,Zürich
1219,Wila,Pfäffikon,Zürich
1220,Fey,Gros-de-Vaud,Vaud
1221,Saint-Barthélemy (VD),Gros-de-Vaud,Vaud
1222,Roggwil (TG),Arbon,Thurgau
1223,Hemmiken,Sissach,Basel-Landschaft
1224,Scheuren,Biel/Bienne,Bern / Berne
1225,Haute-Sorne,Delémont,Jura
1226,Allschwil,Arlesheim,Basel-Landschaft
1227,Chavannes-le-Veyron,Morges,Vaud
1228,Stein am Rhein,Stein,Schaffhausen
1229,Laufen,Laufen,Basel-Landschaft
1230,Tolochenaz,Morges,Vaud
1231,Cortébert,Jura bernois,Bern / Berne
1232,Münchwilen (TG),Münchwilen,Thurgau
1233,Arth,Schwyz,Schwyz
1234,Eggerberg,Brig,Valais / Wallis
1235,Kirchberg (SG),Toggenburg,St. Gallen
1236,Genève,Canton de Genève,Genève
1237,Kappelen,Seeland,Bern / Berne
1238,Fürstenau,Hinterrhein,Graubünden / Grigioni / Grischun
1239,Matzingen,Frauenfeld,Thurgau
