,region_name,district_name,kanton_name
188,Chavannes-le-Chêne,Jura-Nord vaudois,Vaud
189,Hermance,Canton de Genève,Genève
190,Montfaucon,Les Franches-Montagnes,Jura
191,Schafisheim,Lenzburg,Aargau
192,Tévenon,Jura-Nord vaudois,Vaud
193,St. Stephan,Obersimmental-Saanen,Bern / Berne
194,Grangettes,La Glâne,Fribourg / Freiburg
195,Landquart,Landquart,Graubünden / Grigioni / Grischun
196,Oekingen,Wasseramt,Solothurn
197,Rudolfstetten-Friedlisberg,Bremgarten,Aargau
198,Oetwil am See,Meilen,Zürich
199,Twann-Tüscherz,Biel/Bienne,Bern / Berne
200,Oberweningen,Dielsdorf,Zürich
201,Täsch,Visp,Valais / Wallis
202,Arbon,Arbon,Thurgau
203,Othmarsingen,Lenzburg,Aargau
204,Vernayaz,Saint-Maurice,Valais / Wallis
205,Lostallo,Moesa,Graubünden / Grigioni / Grischun
206,St. Moritz,Maloja / Maloggia,Graubünden / Grigioni / Grischun
207,Menzingen,Kanton Zug,Zug
208,Rheinau,Andelfingen,Zürich
209,Ormalingen,Sissach,Basel-Landschaft
210,Schwarzenberg,Luzern-Land,Luzern
211,Hüniken,Wasseramt,Solothurn
212,Lommiswil,Lebern,Solothurn
213,Clarmont,Morges,Vaud
214,Mendrisio,Mendrisio,Ticino
215,Ried-Brig,Brig,Valais / Wallis
216,Otelfingen,Dielsdorf,Zürich
217,Sutz-Lattrigen,Biel/Bienne,Bern / Berne
218,Gossau (ZH),Hinwil,Zürich
219,Niederried bei Interlaken,Interlaken-Oberhasli,Bern / Berne
220,Delémont,Delémont,Jura
221,Lüscherz,Seeland,Bern / Berne
222,Chavornay,Jura-Nord vaudois,Vaud
223,Boulens,Gros-de-Vaud,Vaud
224,Lavizzara,Vallemaggia,Ticino
225,Sierre,Sierre,Valais / Wallis
226,Ingenbohl,Schwyz,Schwyz
227,Oulens-sous-Echallens,Gros-de-Vaud,Vaud
228,Basadingen-Schlattingen,Frauenfeld,Thurgau
229,Bodio,Leventina,Ticino
230,Wittinsburg,Sissach,Basel-Landschaft
231,Trélex,Nyon,Vaud
232,Wenslingen,Sissach,Basel-Landschaft
233,Arbedo-Castione,Bellinzona,Ticino
234,Zug,Kanton Zug,Zug
235,Hindelbank,Emmental,Bern / Berne
236,Gryon,Aigle,Vaud
237,Dübendorf,Uster,Zürich
238,Wildhaus-Alt St. Johann,Toggenburg,St. Gallen
239,Neuenhof,Baden,Aargau
240,Gampelen,Seeland,Bern / Berne
241,Kriegstetten,Wasseramt,Solothurn
242,Bioggio,Lugano,Ticino
243,Zell (ZH),Winterthur,Zürich
244,Hüttikon,Dielsdorf,Zürich
245,Trachselwald,Emmental,Bern / Berne
246,Raron,Raron,Valais / Wallis
247,Villars-Sainte-Croix,Ouest lausannois,Vaud
248,Mühleberg,Appenzell Ausserrhoden,Bern / Berne
249,Romanshorn,Arbon,Thurgau
250,Grosswangen,Sursee,Luzern
251,Lumnezia,Surselva,Graubünden / Grigioni / Grischun
252,Uster,Uster,Zürich
253,Nuglar-St. Pantaleon,Dorneck,Solothurn
254,Bernex,Canton de Genève,Genève
255,Bullet,Jura-Nord vaudois,Vaud
256,Movelier,Delémont,Jura
257,Vuadens,La Gruyère,Fribourg / Freiburg
258,Château-d'Oex,Riviera-Pays-d'Enhaut,Vaud
259,Heimberg,Thun,Bern / Berne
260,Oberuzwil,Wil,St. Gallen
261,Leytron,Martigny,Valais / Wallis
262,Evionnaz,Saint-Maurice,Valais / Wallis
263,Wäldi,Kreuzlingen,Thurgau
264,Lachen,March,Schwyz
265,Salvan,Saint-Maurice,Valais / Wallis
266,Oberried am Brienzersee,Interlaken-Oberhasli,Bern / Berne
267,Wuppenau,Weinfelden,Thurgau
268,Brissago,Locarno,Ticino
269,Boudry,Boudry,Neuchâtel
270,Ersigen,Emmental,Bern / Berne
271,Marsens,La Gruyère,Fribourg / Freiburg
272,Meggen,Luzern-Land,Luzern
273,Rorbas,Bülach,Zürich
274,Orzens,Jura-Nord vaudois,Vaud
275,Benken (ZH),Andelfingen,Zürich
276,Uitikon,Dietikon,Zürich
277,Aefligen,Emmental,Bern / Berne
278,Essertines-sur-Yverdon,Gros-de-Vaud,Vaud
279,Gampel-Bratsch,Leuk,Valais / Wallis
280,Oberhofen am Thunersee,Thun,Bern / Berne
281,Haut-Intyamon,La Gruyère,Fribourg / Freiburg
282,Châtillon (FR),La Broye,Fribourg / Freiburg
283,Deisswil bei Münchenbuchsee,Appenzell Ausserrhoden,Bern / Berne
284,Marbach (SG),Rheintal,St. Gallen
285,Penthalaz,Gros-de-Vaud,Vaud
286,Bretigny-sur-Morrens,Gros-de-Vaud,Vaud
287,Eppenberg-Wöschnau,Olten,Solothurn
288,Dalpe,Leventina,Ticino
289,Molondin,Jura-Nord vaudois,Vaud
290,Liestal,Liestal,Basel-Landschaft
291,Muntelier,See / Lac,Fribourg / Freiburg
