,percentage_population_in_detached_houses,population,population_per_km2,percentage_detached_houses,percentage_flats_3to4_rooms,taxable_income_in_mio_CHF,taxable_income_per_taxable_person_in_chf,share_electric_cars,share_pv,share_renewable_heating,Heating data coverage,mean_electricity_tarif_2021_rp_per_kwh,% Ja,% participation,vote_accepted,temp_mean,pv_out_mea,NUMPOINTS,permanent_resident_population_%,swiss_citizen_%,foreign_citizen_%,age_0to14_%,age_15to19_%,age_20to39_%,age_40to59_%,age_60to64_%,age_65tomore_%,men_%
0,65.44923302,1374,291.1016949,81.79551122,31.58813264,54.4841,102221.576,0.01655,0.02563,0.4113,0.9965,17.13866667,46.55,72.52,0,9.42028986889383,3.2452898474707097,4,0.9665211062590975,0.7794759825327511,0.18704512372634644,0.1819505094614265,0.05604075691411936,0.1943231441048035,0.3173216885007278,0.049490538573508006,0.16739446870451238,0.48253275109170307
1,19.05564924,7965,1448.181818,52.39410681,56.71383194,190.7593,74719.66314,0.01364,0.04535,0.0593,0.9641,20.53357143,53.16,57.49,1,11.859523852666197,3.58689286027636,22,0.970495919648462,0.5378531073446328,0.4326428123038292,0.16070307595731326,0.06679221594475832,0.28336472065285623,0.285247959824231,0.04758317639673572,0.12680477087256747,0.490646578782172
2,29.1311009,8992,917.5510204,61.73238526,53.68201926,298.8384,101542.0999,0.0207,0.06506,0.1865,0.9746,20.30266667,53.16,57.49,1,10.811842159221001,3.63031579632508,37,0.8098309608540926,0.604314946619217,0.20551601423487545,0.14612989323843417,0.04759786476868327,0.21852758007117437,0.22253113879003558,0.03959074733096085,0.13545373665480426,0.3995774021352313
3,26.9705414,4891,123.9168989,46.90529456,58.14096645,104.3437,52672.23624,0.00447,0.02702,0.1467,0.9771,19.005,53.16,57.49,1,8.5494488472075,3.38716299496298,38,0.9783275403802904,0.7963606624412186,0.18196687793907176,0.1431200163565733,0.04641177673277448,0.22408505418114905,0.2743815170721734,0.05745246370885299,0.2328767123287671,0.49171948476794114
4,47.00785815,4873,165.01862509999995,67.21877157,46.8039468,131.0235,65380.98802,0.00916,0.04342,0.4497,0.7702,15.48666667,55.41,59.46,1,9.552112700234,3.2661373296254106,21,0.993638415760312,0.8372665709008824,0.1563718448594295,0.14446952595936793,0.061358506053765645,0.24132977631848965,0.32423558382926326,0.06341063000205212,0.15883439359737328,0.4994869690129284
5,24.85894457,3004,1938.064516,58.38383838,59.96168582,84.8012,66199.21936,0.01002,0.01502,0.214,0.986,17.12666667,44.03,59.02,0,10.0667968764901,3.2110117236152296,48,0.9946737683089214,0.6101864181091877,0.3844873501997337,0.14547270306258323,0.05059920106524634,0.322237017310253,0.28428761651131823,0.05459387483355526,0.13748335552596538,0.5029960053262317
6,43.73916060000001,2869,388.7533875,69.30379747,51.01246106,81.9625,68018.6722,0.01126,0.0267,0.3202,0.9822,17.17333333,40.54,61.39,0,10.0567226449982,3.22586554839831,20,0.9379574764726385,0.753224119902405,0.18473335657023354,0.1460439177413733,0.05228302544440572,0.25339839665388636,0.29348204949459744,0.0658766120599512,0.12687347507842453,0.4893691181596375
7,4.592476489,12413,5642.272727000001,27.22832723,56.20481039,302.5535,63668.66582,0.01086,0.05495,0.0793,0.968,20.90266667,53.16,57.49,1,11.859523852666197,3.58689286027636,22,0.9641504873922501,0.5566744542012406,0.40747603319100945,0.14210907919117055,0.04785305727865947,0.2913075002014018,0.25457181986626926,0.04124707967453476,0.1870619511802143,0.46402964633851607
8,49.18414918,438,72.39669421,55.34591195,35.09615385,10.8099,62848.25581,0.00298,0.03425,0.5776,0.9975,17.13866667,46.55,72.52,0,9.773611214425829,3.25384722153346,2,1.0022831050228311,0.952054794520548,0.0502283105022831,0.1872146118721461,0.045662100456621,0.228310502283105,0.3082191780821918,0.0684931506849315,0.1643835616438356,0.5228310502283106
9,38.95582329,496,96.49805447,55.47945205,46.90265487,15.3082,75409.85222,0.02703,0.68689,0.3946,0.9542,19.005,53.16,57.49,1,8.5494488472075,3.38716299496298,38,0.9979838709677419,0.8608870967741935,0.13709677419354838,0.18346774193548387,0.0625,0.21774193548387097,0.3487903225806452,0.03024193548387097,0.15524193548387097,0.4959677419354839
